SCATS Number,Location,day,month,year,day_of_week,flow_9to10
4040,BURKE_RD N of RIVERSDALE_RD,13,10,2006,4,488
4030,BURKE_RD S of DONCASTER_RD,29,10,2006,6,512
4030,BURKE_RD S of DONCASTER_RD,2,10,2006,0,887
4040,BURKE_RD N of RIVERSDALE_RD,14,10,2006,5,422
4034,BURKE_RD N OF WHITEHORSE_RD,19,10,2006,3,1248
4043,BURKE_RD N of TOORAK_RD,27,10,2006,4,886
4043,BURKE_RD N of TOORAK_RD,17,10,2006,1,911
4032,BURKE_RD N of HARP_RD,21,10,2006,5,899
4034,BURKE_RD N OF WHITEHORSE_RD,8,10,2006,6,703
4035,BURKE_RD N of MONT ALBERT_RD,2,10,2006,0,1002
4043,BURKE_RD N of TOORAK_RD,16,10,2006,0,876
4030,BURKE_RD S of DONCASTER_RD,6,10,2006,4,905
3122,CANTERBURY_RD E of STANHOPE_GV,8,10,2006,6,692
4035,BURKE_RD N of MONT ALBERT_RD,30,10,2006,0,941
4032,BURKE_RD N of HARP_RD,23,10,2006,0,890
4030,BURKE_RD S of DONCASTER_RD,20,10,2006,4,968
3180,BALWYN_RD S of DONCASTER_RD,20,10,2006,4,430
4032,BURKE_RD N of HARP_RD,22,10,2006,6,590
3180,BALWYN_RD S of DONCASTER_RD,25,10,2006,2,430
4043,BURKE_RD N of TOORAK_RD,8,10,2006,6,686
4043,BURKE_RD N of TOORAK_RD,2,10,2006,0,920
4035,BURKE_RD N of MONT ALBERT_RD,29,10,2006,6,646
4032,BURKE_RD N of HARP_RD,31,10,2006,1,908
4035,BURKE_RD N of MONT ALBERT_RD,17,10,2006,1,1061
3120,BURKE_RD N of CANTERBURY_RD,3,10,2006,1,942
3180,BALWYN_RD S of DONCASTER_RD,23,10,2006,0,394
4034,BURKE_RD N OF WHITEHORSE_RD,9,10,2006,0,1153
4034,BURKE_RD N OF WHITEHORSE_RD,1,10,2006,6,679
3180,BALWYN_RD S of DONCASTER_RD,28,10,2006,5,399
4035,BURKE_RD N of MONT ALBERT_RD,6,10,2006,4,990
4040,BURKE_RD N of RIVERSDALE_RD,20,10,2006,4,461
4030,BURKE_RD S of DONCASTER_RD,4,10,2006,2,946
3126,CANTERBURY_RD E of WARRIGAL_RD,13,10,2006,4,1127
3120,BURKE_RD N of CANTERBURY_RD,30,10,2006,0,824
3126,CANTERBURY_RD E of WARRIGAL_RD,22,10,2006,6,699
4040,BURKE_RD N of RIVERSDALE_RD,9,10,2006,0,486
3180,BALWYN_RD S of DONCASTER_RD,15,10,2006,6,243
4043,BURKE_RD N of TOORAK_RD,13,10,2006,4,900
4032,BURKE_RD N of HARP_RD,11,10,2006,2,1025
4030,BURKE_RD S of DONCASTER_RD,10,10,2006,1,894
4043,BURKE_RD N of TOORAK_RD,5,10,2006,3,959
4035,BURKE_RD N of MONT ALBERT_RD,12,10,2006,3,1022
3126,CANTERBURY_RD E of WARRIGAL_RD,4,10,2006,2,1170
4034,BURKE_RD N OF WHITEHORSE_RD,24,10,2006,1,1228
3126,CANTERBURY_RD E of WARRIGAL_RD,24,10,2006,1,1169
4035,BURKE_RD N of MONT ALBERT_RD,9,10,2006,0,956
4032,BURKE_RD N of HARP_RD,5,10,2006,3,1027
3120,BURKE_RD N of CANTERBURY_RD,13,10,2006,4,924
3122,CANTERBURY_RD E of STANHOPE_GV,5,10,2006,3,1472
3120,BURKE_RD N of CANTERBURY_RD,29,10,2006,6,636
4032,BURKE_RD N of HARP_RD,16,10,2006,0,972
4030,BURKE_RD S of DONCASTER_RD,19,10,2006,3,900
4040,BURKE_RD N of RIVERSDALE_RD,7,10,2006,5,479
4030,BURKE_RD S of DONCASTER_RD,8,10,2006,6,672
4032,BURKE_RD N of HARP_RD,26,10,2006,3,1008
3122,CANTERBURY_RD E of STANHOPE_GV,21,10,2006,5,964
3180,BALWYN_RD S of DONCASTER_RD,3,10,2006,1,417
4035,BURKE_RD N of MONT ALBERT_RD,3,10,2006,1,1042
4032,BURKE_RD N of HARP_RD,24,10,2006,1,1003
4035,BURKE_RD N of MONT ALBERT_RD,16,10,2006,0,994
3122,CANTERBURY_RD E of STANHOPE_GV,11,10,2006,2,1357
3126,CANTERBURY_RD E of WARRIGAL_RD,28,10,2006,5,882
4035,BURKE_RD N of MONT ALBERT_RD,13,10,2006,4,1027
4030,BURKE_RD S of DONCASTER_RD,13,10,2006,4,938
3120,BURKE_RD N of CANTERBURY_RD,27,10,2006,4,934
4043,BURKE_RD N of TOORAK_RD,25,10,2006,2,908
4030,BURKE_RD S of DONCASTER_RD,18,10,2006,2,1064
4034,BURKE_RD N OF WHITEHORSE_RD,26,10,2006,3,1146
3120,BURKE_RD N of CANTERBURY_RD,1,10,2006,6,612
4040,BURKE_RD N of RIVERSDALE_RD,30,10,2006,0,466
4043,BURKE_RD N of TOORAK_RD,3,10,2006,1,932
3180,BALWYN_RD S of DONCASTER_RD,8,10,2006,6,248
4034,BURKE_RD N OF WHITEHORSE_RD,7,10,2006,5,1029
4040,BURKE_RD N of RIVERSDALE_RD,18,10,2006,2,446
3180,BALWYN_RD S of DONCASTER_RD,11,10,2006,2,421
4032,BURKE_RD N of HARP_RD,17,10,2006,1,1065
3180,BALWYN_RD S of DONCASTER_RD,6,10,2006,4,393
3122,CANTERBURY_RD E of STANHOPE_GV,6,10,2006,4,1316
3122,CANTERBURY_RD E of STANHOPE_GV,31,10,2006,1,1350
4030,BURKE_RD S of DONCASTER_RD,27,10,2006,4,923
4040,BURKE_RD N of RIVERSDALE_RD,2,10,2006,0,456
4034,BURKE_RD N OF WHITEHORSE_RD,28,10,2006,5,949
4040,BURKE_RD N of RIVERSDALE_RD,8,10,2006,6,475
3120,BURKE_RD N of CANTERBURY_RD,12,10,2006,3,959
4043,BURKE_RD N of TOORAK_RD,28,10,2006,5,738
4034,BURKE_RD N OF WHITEHORSE_RD,15,10,2006,6,730
4043,BURKE_RD N of TOORAK_RD,14,10,2006,5,816
3120,BURKE_RD N of CANTERBURY_RD,28,10,2006,5,835
4035,BURKE_RD N of MONT ALBERT_RD,15,10,2006,6,681
3120,BURKE_RD N of CANTERBURY_RD,5,10,2006,3,918
